time,opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,money,trueAfter,predictionBefore,action,correct,diff
<module 'time' (built-in)>,-0.5489448046221299,-0.5552214620186433,-0.5376500766324857,-0.5477756594130514,-0.4739233547106666,-0.4822757492980903,-0.8437697668520293,-0.3844279927215084,-0.3890076361229562,-0.8230982648893989,0.3010578495294892,17.56999999999971,-0.5477756594130514,-0.5150483250617981,BUY,[1],0.0327273343512533
<module 'time' (built-in)>,-0.5545274478671137,-0.5507505145549682,-0.5422321203258671,-0.5450201110256743,-0.4111328325635848,-0.4218672485646241,-0.7477100133079069,-0.2957709261919003,-0.3049975894681561,-0.8763952604427185,0.2125517338872373,19.389999999999873,-0.5450201110256743,-0.513287365436554,BUY,[1],0.031732745589120315
<module 'time' (built-in)>,-0.550054176036197,-0.5597639446417372,-0.5473869194809226,-0.5551476460078528,-0.3172635203970331,-0.3319122955676261,-0.675665198149815,-0.2842847101018272,-0.2943675052082813,-0.7874978761815611,0.2079974062781301,20.159999999999854,-0.5551476460078528,-0.5125108361244202,BUY,[0],0.04263680988343266
<module 'time' (built-in)>,-0.5515571953713853,-0.5600143176997036,-0.5392609513684398,-0.5469883598738015,-0.5473179890611032,-0.5528147259620445,-0.9398295203961518,-0.5125014280780347,-0.5102250290168954,-0.5825355734571623,0.2647258656060358,17.329999999999927,-0.5469883598738015,-0.5128983855247498,BUY,[1],0.0340899743490517
<module 'time' (built-in)>,-0.5454019733320431,-0.5479606433376357,-0.5331038301554561,-0.5355009438692805,-0.5145662331115866,-0.521291047675141,-0.8437697668520293,-0.4596417522968331,-0.4601202324222747,-0.5706843096618378,0.1563355616070839,19.609999999999673,-0.5355009438692805,-0.5141158699989319,BUY,[1],0.021385073870348603
<module 'time' (built-in)>,-0.5305149246787529,-0.5419159223667468,-0.5224362596818017,-0.5347136443300305,-0.5463026166686733,-0.551789822502242,-0.9638444587821824,-0.5241540758555049,-0.5211830822650824,-0.810099675095932,0.1291966166328414,22.81999999999971,-0.5347136443300305,-0.515757143497467,BUY,[1],0.018956500832563505
<module 'time' (built-in)>,-0.534666120937843,-0.5469591511057718,-0.527913233784047,-0.5347136443300305,-0.413452065698787,-0.4240045458293173,-0.795739890079968,-0.3630822176904482,-0.3686204521302625,0.4917392347502193,0.1128782393769249,23.03999999999951,-0.5347136443300305,-0.5177182555198669,BUY,[0],0.016995388810163603
<module 'time' (built-in)>,-0.5383163107518726,-0.5489979031492083,-0.5302400528470931,-0.5359661663242926,-0.358703239599361,-0.3714020561573177,-0.86778470523806,-0.5303035444803542,-0.5270386411770625,0.7846111610939709,0.2737624056498878,23.03999999999951,-0.5359661663242926,-0.5199176073074341,BUY,[0],0.016048559016858532
<module 'time' (built-in)>,-0.5388173171969348,-0.5518235419462508,-0.5316719415012754,-0.5400458093913183,1.48829978377631,1.4044717109085447,0.5010667827656851,-0.3560325601578523,-0.3620441448177856,0.3886610598337668,0.1118309235666834,22.6899999999996,-0.5400458093913183,-0.5223073959350586,BUY,[0],0.017738413456259705
<module 'time' (built-in)>,-0.5414654941208367,-0.5491409734680457,-0.5295241085200011,-0.5366818931781562,-0.40223433277796,-0.4132939874620731,-0.795739890079968,-0.2479600832050238,-0.2597054234408955,0.4744258350591188,0.4513521567954677,21.549999999999727,-0.5366818931781562,-0.5249119997024536,BUY,[1],0.011769893475702564
<module 'time' (built-in)>,-0.5429685134560249,-0.5530754072360795,-0.5306696194433473,-0.5400458093913183,-0.4831769683317016,-0.4911317001912615,-0.8917996436240905,-0.3955485450312417,-0.3994686823047974,-0.3213459843735131,-0.4930675681875628,22.48999999999978,-0.5400458093913183,-0.5275578498840332,BUY,[0],0.012487959507285096
<module 'time' (built-in)>,-0.5400340471349431,-0.5526461962795671,-0.5277342477022736,-0.5398668776778516,-0.4930208837504353,-0.5005789839786059,-0.9158145820101212,-0.5419501181086493,-0.538063803998806,0.2152900367260311,-0.4476068804289562,21.549999999999727,-0.5398668776778516,-0.5302593111991882,BUY,[1],0.009607566478663343
<module 'time' (built-in)>,-0.5431832305039088,-0.5560441163519596,-0.5394399374502131,-0.5498512672892575,-0.4990291699938289,-0.5063955710962951,-0.8917996436240905,-0.4244529912957694,-0.4268760696208611,-0.3227680043522892,-0.5410843049893359,21.59999999999991,-0.5498512672892575,-0.5329374670982361,BUY,[0],0.0169138001910214
<module 'time' (built-in)>,-0.5543843031685245,-0.56559406013437,-0.5463488002066408,-0.5560065182324907,-0.4591185056738017,-0.4681830272908245,-0.675665198149815,-0.5152773142510455,-0.5128682852025387,-0.3453613197953384,-0.5783742836460716,18.809999999999945,-0.5560065182324907,-0.5357813835144043,BUY,[0],0.0202251347180864
<module 'time' (built-in)>,-0.5630087712585312,-0.5753228418153263,-0.5564078180022692,-0.5665277029842951,0.2988796379399562,0.2582218651392767,-0.363470999131417,-0.478086513681876,-0.477802446213704,0.0659399862141423,-0.5473369299930216,17.08999999999969,-0.5665277029842951,-0.5388593673706055,BUY,[0],0.027668335613689643
<module 'time' (built-in)>,-0.5684124836302794,-0.5811887248876693,-0.5597011619068881,-0.5719672270736632,-0.4757115827298803,-0.4842347404204185,-0.8917996436240905,-0.5536404256110051,-0.5491329852188849,0.7898849574220412,-0.2926156609871335,14.149999999999636,-0.5719672270736632,-0.5423383712768555,BUY,[0],0.02962885579680774
<module 'time' (built-in)>,-0.5767506623231078,-0.5850516234962844,-0.5688294520772975,-0.5733986807813919,-0.4721731032179416,-0.480908309894471,-0.795739890079968,-0.4542138925939832,-0.4553451401103078,1.0989629220638577,-0.2499204854337415,12.629999999999654,-0.5733986807813919,-0.5462286472320557,BUY,[0],0.027170033549336225
<module 'time' (built-in)>,-0.5773590272921126,-0.587483818916523,-0.5650707443600707,-0.57672681065186,-0.5560565876825657,-0.5612463945742008,-0.9638444587821824,-0.5321841010649585,-0.5288996602946019,0.8393232972155736,-0.263627904374726,12.229999999999563,-0.57672681065186,-0.5504265427589417,BUY,[0],0.026300267892918394
<module 'time' (built-in)>,-0.5800787765653092,-0.5858385102498904,-0.5677913328030156,-0.5753311432868252,-0.4103453193300861,-0.4217268851935677,-0.7717249516939375,-0.2627494216165045,-0.2748473029655456,1.4842078519763953,-0.2037952009852646,11.299999999999727,-0.5753311432868252,-0.5548793077468872,BUY,[1],0.020451835539938013
<module 'time' (built-in)>,-0.5738877683513205,-0.578291550931208,-0.5615984143736784,-0.571502004618651,-0.4257491314777086,-0.4363556205220616,-0.7477100133079069,-0.4183666938223409,-0.4214739221723325,2.386190225327793,-0.1691113929140427,11.6899999999996,-0.571502004618651,-0.5594123005867004,BUY,[1],0.012089704031950532
<module 'time' (built-in)>,-0.5728141831119015,-0.5758235879312591,-0.5605244978830428,-0.5645952404788618,-0.4837053084282874,-0.4919047018635579,-0.8437697668520293,-0.4041714072001829,-0.4080889319315852,2.0790333642205443,-0.1959747442136474,12.759999999999764,-0.5645952404788618,-0.5638037323951721,BUY,[1],0.0007915080836896626
<module 'time' (built-in)>,-0.5640107841486574,-0.5694211911632764,-0.5517183826598233,-0.5618396920914845,-0.5045697453320481,-0.5118373402079432,-0.8197548284659987,-0.4465944798687649,-0.4480206878087104,1.4949231712166176,-0.2413561352037643,14.6899999999996,-0.5618396920914845,-0.5677783489227295,DONT BUY,[0],-0.005938656831244948
<module 'time' (built-in)>,-0.5618636136698176,-0.56205306974314,-0.5542957822373502,-0.5490281814073151,-0.4000330267513275,-0.4115352996425908,-0.6996801365358456,-0.3790790969579344,-0.3841332955739075,1.2615643170531503,-0.3005212495724689,14.6899999999996,-0.5490281814073151,-0.5712048411369324,DONT BUY,[0],-0.022176659729617243
<module 'time' (built-in)>,-0.5459387659517534,-0.5536119209317208,-0.5368267406563308,-0.5470599325591878,-0.2414956862684897,-0.2589203987283432,-0.6036203829917232,-0.4050910333852898,-0.4085132355345416,0.3762445070329474,-0.3391350354133498,14.6899999999996,-0.5470599325591878,-0.5737205147743225,DONT BUY,[0],-0.026660582215134676
<module 'time' (built-in)>,-0.5474417852869417,-0.5604435286562159,-0.5459550308267402,-0.5489208223792348,-0.4810509491031954,-0.4892142145224035,-0.795739890079968,-0.4218313885118057,-0.4245281689212181,0.4454707909668083,0.1205173608968261,14.6899999999996,-0.5489208223792348,-0.5753006935119629,DONT BUY,[1],-0.026379871132728105
<module 'time' (built-in)>,-0.5508414718784392,-0.5638414487286101,-0.5426258897057676,-0.5512827209969863,-0.5461380517205564,-0.5516872905655,-0.8917996436240905,-0.5214304273653999,-0.5186781832036754,0.3878156547934245,0.1028180229368341,14.6899999999996,-0.5512827209969863,-0.5760457515716553,DONT BUY,[1],-0.024763030574668998
<module 'time' (built-in)>,-0.5547779510896456,-0.5585478469316186,-0.5424827008403496,-0.5455211198233804,-0.4549537466022278,-0.4640892489237341,-0.795739890079968,-0.3440871383901432,-0.350911999633923,0.48636499500415,0.1276199574887949,14.6899999999996,-0.5455211198233804,-0.576080322265625,DONT BUY,[0],-0.030559202442244637
<module 'time' (built-in)>,-0.5426464378841984,-0.5556506729751557,-0.5651781360091334,-0.5760468701406888,0.0716061170226065,0.040466882756007,-0.2193813688152333,-0.2517163370548922,-0.2640401048069864,-0.2127720916155534,0.1255052772513731,14.6899999999996,-0.5760468701406888,-0.5753262639045715,DONT BUY,[1],0.0007206062361172494
<module 'time' (built-in)>,-0.5748897812414465,-0.5878772622933269,-0.574771789992154,-0.5837409338197296,-0.5218224146902957,-0.5284933302603568,-0.795739890079968,-0.4842724272017757,-0.4837568791336266,0.6688857072792,0.2536491543638335,14.6899999999996,-0.5837409338197296,-0.5746657848358154,BUY,[0],0.00907514898391415
<module 'time' (built-in)>,-0.5735656927794955,-0.577576199337019,-0.5617416032390964,-0.5732197490679253,-0.4564055159218502,-0.4657388730813386,-0.7717249516939375,-0.3729357024822602,-0.3785882438980875,0.591626933847744,0.2395681429116814,12.539999999999509,-0.5732197490679253,-0.574304461479187,BUY,[1],-0.0010847124112617346
<module 'time' (built-in)>,-0.5743172024470897,-0.5764674043660277,-0.5620279809699342,-0.5634500775126784,-0.3803372008556521,-0.3928419849786921,-0.795739890079968,-0.208033485847399,-0.2229823695747707,0.0297006348786923,0.0483746570903308,15.479999999999563,-0.5634500775126784,-0.5739511847496033,DONT BUY,[0],-0.010501107236924878
<module 'time' (built-in)>,-0.5573187694896063,-0.5600143176997036,-0.5450243032015227,-0.5523563112777832,-0.4332804763097469,-0.4432990343094451,-0.6516502597637844,-0.4676535550587614,-0.4678143621693639,-0.3144625078738952,0.0188277834517989,15.479999999999563,-0.5523563112777832,-0.5733627676963806,DONT BUY,[0],-0.02100645641859744
<module 'time' (built-in)>,-0.5630803436078259,-0.5696715642212412,-0.5507876550346043,-0.5611239652376194,-0.5262929847383297,-0.5326702646746264,-0.8197548284659987,-0.5182086986429383,-0.5156597237681886,-0.7004992383785842,-0.0575671721608208,15.479999999999563,-0.5611239652376194,-0.5722919702529907,DONT BUY,[1],-0.011168005015371296
<module 'time' (built-in)>,-0.5652633002613137,-0.5726760409168314,-0.5557634681078879,-0.5596567251871982,-0.3929427426304366,-0.4048351169514597,-0.7477100133079069,-0.2733463822673462,-0.2844710682038909,-0.3879165585098713,-0.0446748641532928,15.479999999999563,-0.5596567251871982,-0.5710400938987732,DONT BUY,[0],-0.01138336871157497
<module 'time' (built-in)>,-0.5652275140866672,-0.5738206034675328,-0.5529354880158786,-0.5608018881533816,-0.4469466958068071,-0.4565698821659993,-0.9398295203961518,-0.329487313432925,-0.3374104312321088,-0.3318722979277934,0.0113083551673539,15.479999999999563,-0.5608018881533816,-0.5696194171905518,DONT BUY,[1],-0.008817529037170146
<module 'time' (built-in)>,-0.5608258146050451,-0.5738206034675328,-0.5485324304042688,-0.5608018881533816,-0.5698800433243855,-0.5744835561134608,-1.0358892739402743,-0.5536404256110051,-0.5491329852188849,-0.1197521649587085,0.0712812492588433,15.479999999999563,-0.5608018881533816,-0.5681127905845642,DONT BUY,[0],-0.007310902431182598
<module 'time' (built-in)>,-0.5693429241711092,-0.5779338751341127,-0.5570879651130058,-0.5693548240570586,-0.4619001196753727,-0.4709790555240226,-0.8197548284659987,-0.3567529542500165,-0.3632831471103216,-0.0421132919699872,0.0630266052756088,15.479999999999563,-0.5693548240570586,-0.5665675401687622,DONT BUY,[1],0.00278728388829641
<module 'time' (built-in)>,-0.5670168228190339,-0.5773258262790543,-0.5575175317092601,-0.5643089497373164,-0.3482177207594266,-0.3620401879464391,-0.8437697668520293,-0.5437553552434827,-0.5397989814082367,0.6065488676554901,0.1019412699871176,15.479999999999563,-0.5643089497373164,-0.5652480721473694,BUY,[1],-0.000939122410053006
<module 'time' (built-in)>,-0.5609331731289862,-0.5719606893226441,-0.548890402567814,-0.5589409983333347,-0.3791366096147344,-0.39151857076202,-0.9398295203961518,-0.5428964705501266,-0.5389828452066702,0.4974795936722428,0.1413632844004163,16.889999999999418,-0.5589409983333347,-0.5640357136726379,BUY,[1],-0.00509471533930328
<module 'time' (built-in)>,-0.5643328597204839,-0.5773258262790543,-0.5520405576070148,-0.5643089497373164,-0.5194252297375644,-0.5261038832977148,-1.0118743355542437,-0.5536404256110051,-0.5491329852188849,0.2744408720831784,0.0108996027682711,18.389999999999418,-0.5643089497373164,-0.5628123879432678,DONT BUY,[1],0.0014965617940485565
<module 'time' (built-in)>,-0.567517829264096,-0.5770039180616691,-0.5554412931606965,-0.5639868726530769,-0.5036223309343872,-0.5109747985489288,-0.9158145820101212,-0.4454294580569849,-0.4469930177858813,0.3502466050092889,0.0022821386650601,18.389999999999418,-0.5639868726530769,-0.5617495179176331,BUY,[1],0.0022373547354438417
<module 'time' (built-in)>,-0.5615057519233431,-0.5646998706416348,-0.5492125775150039,-0.551676370766612,-0.255268506541658,-0.2725947105082362,-0.6996801365358456,-0.0834125968819872,-0.1048289291603468,0.5278639887566389,-0.0001678322481832,18.479999999999563,-0.551676370766612,-0.5608503222465515,BUY,[1],-0.00917395147993949
<module 'time' (built-in)>,-0.5483722258277731,-0.5575463546997547,-0.5360749991128851,-0.5445191022279697,-0.5569926757477652,-0.5621011707469848,-0.987859397168213,-0.5413560663193268,-0.537512341117391,-0.8724592767603089,0.0149160589005471,21.919999999999618,-0.5445191022279697,-0.5598032474517822,DONT BUY,[0],-0.015284145223812495
<module 'time' (built-in)>,-0.5503762516080235,-0.5633764701923875,-0.5428764702202484,-0.5551476460078528,-0.5580586835088464,-0.5631321235280853,-0.9398295203961518,-0.5518594850728722,-0.5474495711242982,-1.4054922942107235,-0.2675448655050292,21.919999999999618,-0.5551476460078528,-0.558464765548706,DONT BUY,[1],-0.0033171195408532306
<module 'time' (built-in)>,-0.5645475767683676,-0.5775404317573104,-0.5522553409051418,-0.5645236677934754,-0.53436865978337,-0.5404335430111256,-1.0118743355542437,-0.4888899954046702,-0.4879937170071102,-0.6531813639119631,-0.2540982282007948,21.919999999999618,-0.5645236677934754,-0.5571736097335815,DONT BUY,[1],0.00735005805989386
<module 'time' (built-in)>,-0.5632950606557097,-0.5758951230906778,-0.5510024383327313,-0.5628774960295876,-0.5100023873844579,-0.5170594589237941,-0.9158145820101212,-0.4444612386784774,-0.4460238536791597,0.0264608752959449,-0.2206414254095428,21.919999999999618,-0.5628774960295876,-0.5562015175819397,BUY,[1],0.00667597844764789
<module 'time' (built-in)>,-0.5620783307177014,-0.5750724687573615,-0.5616342115900337,-0.5732913217533115,-0.4813367724341353,-0.4896564642548577,-0.8917996436240905,-0.4430872661350747,-0.4448562636967735,0.4092034257034758,-0.1805798002692753,22.379999999999654,-0.5732913217533115,-0.5554993152618408,BUY,[0],0.017792006491470724
<module 'time' (built-in)>,-0.5733151895569636,-0.586303488786113,-0.5610256589120061,-0.5732913217533115,-0.5698800433243855,-0.5744835561134608,-1.0358892739402743,-0.5536404256110051,-0.5491329852188849,0.4649056188554343,-0.1913714919945476,19.4699999999998,-0.5732913217533115,-0.5553285479545593,BUY,[0],0.01796277379875222
<module 'time' (built-in)>,-0.5757486494329818,-0.5846939476991907,-0.5681135077502071,-0.5803770176065676,-0.448321179563751,-0.4580600184163019,-0.8197548284659987,-0.3551967572313614,-0.3619591905445891,0.5325276449763723,-0.2014670179390979,19.4699999999998,-0.5803770176065676,-0.5556409358978271,BUY,[0],0.02473608170874042
<module 'time' (built-in)>,-0.5804008521371357,-0.5933854695685745,-0.5681135077502071,-0.5803770176065676,-0.5698800433243855,-0.5744835561134608,-1.0358892739402743,-0.5536404256110051,-0.5491329852188849,0.7139445685096659,-0.2139029954864493,17.48999999999978,-0.5803770176065676,-0.556564211845398,BUY,[0],0.02381280576116962
<module 'time' (built-in)>,-0.5836931802046906,-0.5935643074671222,-0.571406851654826,-0.5805559493200342,-0.4343704692454523,-0.4448181041955651,-0.86778470523806,-0.3065561854671693,-0.3163092615162497,0.7139445685096659,-0.2412006836142156,17.48999999999978,-0.5805559493200342,-0.5580137372016907,BUY,[0],0.022542212118343508
<module 'time' (built-in)>,-0.5819754438216186,-0.5949592430757884,-0.5775281756514542,-0.5856376099824689,0.1124795196018601,0.0782373981581789,-0.5315755678336314,-0.5220548499005979,-0.519386100170143,0.4499037284438992,-0.2107701746649285,17.4399999999996,-0.5856376099824689,-0.5599042177200317,BUY,[0],0.025733392262437205
<module 'time' (built-in)>,-0.592389220643992,-0.6004674503510361,-0.5801055752289812,-0.5874627134598235,-0.4540702926702318,-0.4637736545855715,-0.86778470523806,-0.3535506628049153,-0.3607747466422588,0.866946943884219,-0.0332887458974363,16.019999999999982,-0.5874627134598235,-0.562274694442749,BUY,[0],0.02518801901707446
<module 'time' (built-in)>,-0.5874865147173077,-0.6004674503510361,-0.5752013565884081,-0.5874627134598235,-0.5698800433243855,-0.5744835561134608,-1.0358892739402743,-0.5536404256110051,-0.5491329852188849,1.2216216522902883,0.0424951757481797,15.509999999999764,-0.5874627134598235,-0.5650632977485657,BUY,[0],0.02239941571125781
