opens,highs,lows,closes,volumes,qavs,numTrades,tbbavs,tbqavs,rsis,obvs,labels
3108.77000000,3112.48000000,3105.25000000,3107.12000000,18.15410000,56427.12509260,53,16.67010000,51813.43423160,42.280249727479855,133.94075999999998,0
3102.55000000,3109.55000000,3045.40000000,3054.97000000,25.94369000,79855.68532280,142,8.16324000,25095.46599730,40.99979740680717,126.82545000000002,0
3055.97000000,3059.66000000,2925.21000000,2939.25000000,309.93427000,923366.95857730,1532,145.55281000,433020.41295050,48.528632025450726,128.73469000000003,0
2937.20000000,2939.10000000,2859.94000000,2881.17000000,321.44339000,933973.42313600,1337,168.35138000,489031.27704900,69.44487207118442,475.82993000000005,1
2882.07000000,2921.82000000,2879.03000000,2898.67000000,177.06801000,514831.24521680,620,99.76825000,289977.76899840,75.31133002310082,809.2824700000001,0
2899.55000000,2902.77000000,2854.70000000,2859.36000000,175.34137000,504355.91189860,631,86.11692000,248048.16776260,74.27785779756445,356.49622,1
2858.35000000,2904.04000000,2835.60000000,2903.25000000,181.60704000,520865.86857550,797,85.56831000,245682.91868970,77.6951762300012,536.4383700000001,0
2902.30000000,2902.30000000,2876.75000000,2880.96000000,42.29839000,122271.59524720,220,17.43270000,50407.66997580,68.8937468688801,359.97357,0
2881.56000000,2881.56000000,2840.07000000,2853.80000000,75.84182000,216632.99870830,395,28.84327000,82386.11482200,69.83615245329682,399.43107999999995,0
2853.89000000,2862.01000000,2813.69000000,2839.18000000,151.57271000,429699.31528360,647,81.17215000,230282.87977290,78.15301988985479,488.87981999999994,0
2831.54000000,2849.78000000,2755.55000000,2759.44000000,327.85317000,916573.59537920,1273,147.40052000,411878.45609900,78.52589195839393,542.52428,1
2756.01000000,2816.60000000,2725.00000000,2802.14000000,199.45035000,553602.77429770,991,104.42135000,290455.67542840,84.05002536387404,894.4616,1
2803.22000000,2823.23000000,2766.56000000,2821.96000000,180.48039000,504056.99155450,661,82.80044000,231343.09433290,76.76871383236889,346.75223,1
2823.23000000,2839.13000000,2808.95000000,2828.11000000,80.74024000,228140.98262140,454,42.36334000,119738.34315180,75.82042772861357,162.73349000000002,0
2823.56000000,2829.64000000,2794.73000000,2798.78000000,24.68297000,69366.11582100,159,12.08919000,33994.06510090,75.97310228889178,-97.23895999999999,1
2802.93000000,2850.94000000,2802.93000000,2847.36000000,99.47491000,281417.04842800,383,68.78769000,194780.14917320,77.12064173380713,-116.72542999999993,0
2847.72000000,2850.30000000,2820.09000000,2825.08000000,60.56389000,171545.58237170,313,30.56881000,86617.99916220,68.37614402804086,-84.77055999999993,0
2826.43000000,2826.43000000,2793.75000000,2802.23000000,66.46957000,186998.30125310,328,43.86735000,123460.64729790,62.108389012620655,-50.150360000000035,0
2804.96000000,2817.38000000,2781.56000000,2801.24000000,89.32423000,250136.96095240,305,46.62850000,130551.38330270,59.04818669478704,-293.61505999999997,0
2802.56000000,2806.86000000,2769.19000000,2798.54000000,85.30793000,238046.39283170,312,41.52363000,115860.26582390,61.606823759262376,117.15255999999997,1
2795.89000000,2869.71000000,2795.03000000,2847.64000000,164.15190000,465979.49288620,545,102.00402000,288997.15134370,57.937875228399925,25.392480000000063,1
2848.99000000,2875.17000000,2839.29000000,2863.83000000,130.30404000,372728.97738590,331,80.47777000,230267.60315720,57.160516082511414,194.26989,1
